:START_ID,:END_ID,:TYPE
100571,776,author
100207,776,author
100572,777,author
100573,777,author
100574,777,author
100575,777,author
100576,777,author
100577,778,author
100334,779,author
100578,780,author
100472,781,author
100096,782,author
100004,782,author
100579,783,author
100293,783,author
100580,783,author
100525,783,author
100579,784,author
100293,784,author
100580,784,author
100525,784,author
100178,785,author
100581,786,author
100500,786,author
100582,787,author
100583,787,author
100304,788,author
100198,788,author
100584,789,author
100089,789,author
100585,790,author
100586,791,author
100587,791,author
100588,792,author
100489,792,author
100589,792,author
100112,792,author
100244,792,author
100590,792,author
100591,792,author
100592,792,author
100593,792,author
100594,792,author
100418,793,author
100410,794,author
100595,795,author
100596,795,author
100597,795,author
100598,795,author
100599,796,author
100220,797,author
100476,797,author
100330,798,author
100305,799,author
100227,799,author
100600,800,author
100290,800,author
100289,800,author
100601,800,author
100602,801,author
100214,801,author
100224,802,author
100588,803,author
100489,803,author
100589,803,author
100112,803,author
100244,803,author
100603,803,author
100591,803,author
100592,803,author
100593,803,author
100594,803,author
100004,804,author
100214,805,author
100214,806,author
100214,807,author
100214,808,author
100183,808,author
100604,809,author
100178,809,author
100025,810,author
100227,810,author
100269,811,author
100510,811,author
100269,812,author
100605,813,author
100002,814,author
100381,814,author
100387,815,author
100604,816,author
100387,817,author
100387,818,author
100604,819,author
100606,820,author
100607,820,author
100497,821,author
100307,822,author
100608,822,author
100505,823,author
100608,823,author
100365,823,author
100609,824,author
100610,824,author
100004,825,author
100057,825,author
100611,826,author
100353,826,author
100502,826,author
100611,827,author
100353,827,author
100502,827,author
100207,828,author
100612,828,author
100067,829,author
100190,829,author
100562,830,author
100295,831,author
100117,831,author
100048,831,author
100304,832,author
100116,832,author
100613,833,author
100614,833,author
100615,833,author
100616,833,author
100617,833,author
100067,834,author
100190,834,author
100067,835,author
100183,835,author
100190,835,author
100112,836,author
100113,836,author
100375,837,author
100000,837,author
100618,837,author
100619,838,author
100206,839,author
100215,839,author
100620,840,author
100454,841,author
100621,842,author
100622,842,author
100215,842,author
100382,842,author
100623,842,author
100252,842,author
100624,843,author
100207,844,author
100217,845,author
100625,846,author
100626,846,author
100627,846,author
100628,846,author
100629,846,author
100119,847,author
100630,847,author
100325,847,author
100004,847,author
100581,848,author
100631,849,author
100632,849,author
100321,850,author
100321,851,author
100321,852,author
100114,853,author
100400,854,author
100353,855,author
100551,856,author
100266,857,author
100213,858,author
100633,859,author
100048,860,author
100293,860,author
100048,861,author
100224,861,author
100525,862,author
100634,863,author
100353,864,author
100000,865,author
100397,866,author
100210,866,author
100118,866,author
100210,867,author
100118,867,author
100397,867,author
100398,867,author
100118,868,author
100635,869,author
100341,870,author
100118,871,author
100214,872,author
100636,872,author
100214,873,author
100636,873,author
100214,874,author
100636,874,author
100214,875,author
100636,875,author
100637,876,author
100314,876,author
100638,876,author
100639,876,author
100470,876,author
100640,876,author
100294,876,author
100048,877,author
100288,878,author
100641,879,author
100021,880,author
100106,881,author
100642,882,author
100642,883,author
100114,884,author
100643,885,author
100644,886,author
100614,886,author
100645,886,author
100330,887,author
100004,887,author
100000,887,author
100646,888,author
100647,889,author
100256,890,author
100106,891,author
100021,892,author
100341,893,author
100118,894,author
100400,895,author
100404,895,author
100648,895,author
100403,895,author
100249,896,author
100649,896,author
100210,896,author
100477,896,author
100650,896,author
100397,896,author
100449,897,author
100651,897,author
100652,897,author
100210,897,author
100653,898,author
100654,899,author
100296,899,author
100655,900,author
100273,900,author
100656,901,author
100025,902,author
100213,903,author
100657,904,author
100658,905,author
100337,906,author
100631,907,author
100659,907,author
100660,907,author
100314,908,author
100437,909,author
100658,910,author
100048,911,author
100004,912,author
100293,912,author
100048,912,author
100661,913,author
100662,913,author
100126,914,author
100357,915,author
100663,916,author
100664,916,author
100665,916,author
100666,916,author
100667,917,author
100210,918,author
100211,918,author
100668,919,author
100500,920,author
100500,921,author
100500,922,author
100669,923,author
100288,923,author
100670,924,author
100669,924,author
100288,924,author
100390,925,author
100354,926,author
100671,927,author
100671,928,author
100671,929,author
100586,930,author
100672,930,author
100510,931,author
100673,931,author
100611,931,author
100269,931,author
100118,932,author
100118,933,author
100118,934,author
100674,936,author
100675,938,author
100676,938,author
100677,938,author
